type,item,overall_mae,overall_r2,mae,r2
overall,all,5253.033489174987,0.8538699717477755,,
hourly,1,,,5323.10464247456,0.859664012161589
hourly,2,,,5323.522024734152,0.859663838813126
hourly,3,,,5323.416107858267,0.8596638617415627
hourly,4,,,5323.194266158428,0.8596638941242951
hourly,5,,,5323.092115393697,0.8596639134865411
hourly,6,,,5317.535854822231,0.8597387818007944
hourly,7,,,5312.85486222996,0.8598683639592212
hourly,8,,,5317.646493672799,0.8595789746152136
hourly,9,,,5332.021108243164,0.8582884916751516
hourly,10,,,5303.918046029124,0.8569703762686081
hourly,11,,,5285.425719852459,0.8554903404816794
hourly,12,,,5286.074370178643,0.8529664822110021
hourly,13,,,5257.542836779616,0.8513630361110146
hourly,14,,,5215.17648738249,0.8505477684024296
hourly,15,,,5188.655139453448,0.8496619885605842
hourly,16,,,5201.506503952428,0.8485511251790526
hourly,17,,,5181.524170754034,0.8489336195680919
hourly,18,,,5183.291286405228,0.8489199833421432
hourly,19,,,5181.074910950032,0.848942054467859
hourly,20,,,5179.5736715683,0.8489468482192468
hourly,21,,,5178.534009700783,0.8489475285360678
hourly,22,,,5177.599460147073,0.8489485632061957
hourly,23,,,5177.861553854626,0.8489482964726134
hourly,24,,,5178.658097604215,0.8489471785425265
sample,1,,,5271.656339791073,0.9221905628225275
sample,2,,,5270.676743404675,0.9221906473140394
sample,3,,,5268.340522421128,0.9221909056893741
sample,4,,,5266.904618080589,0.9221910910692974
sample,5,,,5271.567016266064,0.9221898651433539
sample,6,,,5211.2438820692805,0.9225059403178598
sample,7,,,5180.750009916331,0.9227299913896929
sample,8,,,5202.140368339488,0.9226803138053052
sample,9,,,5179.236324422095,0.9228585709571768
sample,10,,,5122.496582969999,0.9248488823180304
sample,11,,,4932.599157228313,0.9323952187200855
sample,12,,,4639.454145516128,0.9442734074447229
sample,13,,,4842.744223635246,0.9422803985137006
sample,14,,,4725.517069423491,0.9469733795416475
sample,15,,,4621.575693029826,0.9491967597459988
sample,16,,,4719.786139940171,0.9485942784498775
sample,17,,,4694.396219022322,0.9489814905496555
sample,18,,,4649.47952768117,0.948954456286071
sample,19,,,4736.794669273858,0.948951823650636
sample,20,,,4714.258694825171,0.9489862763691778
sample,21,,,4716.776145259154,0.9489845358837261
sample,22,,,4716.002425722509,0.9489851620055785
sample,23,,,4716.007593669011,0.94898515984499
sample,24,,,4717.929013462152,0.9489842266048291
sample,25,,,4718.594671718464,0.9489841601843065
sample,26,,,4719.260329974776,0.948984113310637
sample,27,,,4726.71134121384,0.9489825464497966
sample,28,,,4727.241918030868,0.9489824955504254
sample,29,,,4721.967804317205,0.9489836673437521
sample,30,,,4742.316276964543,0.9489517279998745
sample,31,,,4835.830349984277,0.9481076302352494
sample,32,,,4982.384188389473,0.947175525494716
sample,33,,,5230.56024586399,0.9429952175825163
sample,34,,,5055.454118325738,0.943000816137474
sample,35,,,4956.451546315187,0.9382905488820255
sample,36,,,5508.303094441467,0.8892523957246297
sample,37,,,5739.787161257324,0.8417646737472896
sample,38,,,5724.457269093985,0.8023541350890373
sample,39,,,5497.144402070918,0.768906786408817
sample,40,,,5770.545656442536,0.7215282252831557
sample,41,,,5597.567319797386,0.7257548204889837
sample,42,,,5798.579936870257,0.727372619389618
sample,43,,,5790.119265678265,0.7285024985401273
sample,44,,,5779.027152065813,0.728531909877081
sample,45,,,5774.509514878383,0.7285416421656482
sample,46,,,5757.549903124073,0.7285655281566568
sample,47,,,5748.106891000687,0.7285722104203127
sample,48,,,5736.1510004045385,0.7285828436541545
sample,49,,,5733.695169724339,0.7285833405414669
sample,50,,,5732.28115172408,0.7285835951067117
sample,51,,,5724.196163997446,0.7285888778581595
sample,52,,,5722.200394966225,0.7285893030198696
sample,53,,,5720.059623367844,0.7285897366223775
sample,54,,,5695.9040254725,0.7314028470491984
sample,55,,,5555.920533490299,0.740627227744991
sample,56,,,5593.0134611727735,0.7345455082393735
sample,57,,,5225.7849351143,0.7219292671209603
sample,58,,,5073.2486956961575,0.6333963757782674
sample,59,,,4705.1459885763325,0.5818657613700757
sample,60,,,3615.400744793489,0.7525048887403744
sample,61,,,3023.4890470057617,0.8046343219740492
sample,62,,,2764.4642655323914,0.6836119133451698
sample,63,,,2896.6058822974423,0.285206614129491
sample,64,,,2392.611425297673,0.4738626948161425
sample,65,,,2474.7047426443355,0.4170059575095012
sample,66,,,2453.077397721521,0.42584457892937755
sample,67,,,2358.892483251287,0.4380851994636177
sample,68,,,2361.2033423581865,0.4380223611947037
sample,69,,,2362.0359554999136,0.43800116539540357
sample,70,,,2367.956142124835,0.4379524637110779
sample,71,,,2385.831083858591,0.43763490222219015
sample,72,,,2410.925015443197,0.43701242292012055
sample,73,,,2428.799957176953,0.4366948614312328
sample,74,,,2453.148997824941,0.436091131286087
sample,75,,,2467.7866901050907,0.43586861447322034
